Wall time,Step,Value
1740402077.2959929,1000,-7.777777671813965
1740402102.1219385,2000,-7.5
1740402123.273112,3000,-4.0
1740402144.6430233,4000,-3.3333332538604736
1740402164.683321,5000,-0.9090909361839294
1740402186.8436298,6000,-2.0
1740402209.1948328,7000,-4.545454502105713
1740402232.781621,8000,-3.3333332538604736
1740402255.37137,9000,-3.3333332538604736
1740402278.8142095,10000,-5.0
1740402307.410937,11000,-7.142857074737549
1740402329.8005455,12000,-6.666666507720947
1740402352.897862,13000,-6.0
1740402375.799941,14000,-6.666666507720947
1740402396.7233298,15000,-10.0
1740402419.9482038,16000,-5.0
1740402442.5833616,17000,-7.142857074737549
1740402467.5493646,18000,0.0
1740402489.992699,19000,-7.5
1740402512.976377,20000,0.0
1740402542.2837934,21000,-7.777777671813965
1740402565.7930639,22000,-10.0
1740402586.2662182,23000,-7.142857074737549
1740402609.839441,24000,-5.0
1740402634.0433075,25000,-6.0
1740402657.7390258,26000,-10.0
1740402680.6576843,27000,2.0
1740402704.8096292,28000,0.0
1740402728.795086,29000,-3.3333332538604736
1740402752.8504336,30000,0.0
1740402783.658498,31000,-5.0
1740402808.1797822,32000,-4.285714149475098
1740402832.3310971,33000,-3.3333332538604736
1740402855.736095,34000,-10.0
1740402879.565556,35000,-3.3333332538604736
1740402905.4113674,36000,-5.0
1740402929.1200914,37000,2.0
1740402952.989192,38000,-10.0
1740402977.254803,39000,-5.55555534362793
1740403003.0223572,40000,-10.0
1740403026.862726,41000,-10.0
1740403057.539907,42000,-10.0
1740403082.4062774,43000,-10.0
1740403106.9774663,44000,0.0
1740403152.173679,46000,-6.666666507720947
1740403175.2644396,47000,-10.0
1740403197.8366694,48000,-5.0
1740403221.746276,49000,-10.0
1740403243.9710076,50000,-6.0
1740403267.7047293,51000,-3.3333332538604736
1740403297.2647846,52000,-3.3333332538604736
1740403320.4132128,53000,-2.5
1740403341.0096192,54000,-10.0
1740403363.2680075,55000,-1.4285714626312256
1740403385.0741727,56000,5.0
1740403408.5067549,57000,10.0
1740403432.4944766,58000,-10.0
1740403456.2431095,59000,10.0
1740403479.0320208,60000,0.0
1740403501.9970038,61000,-3.3333332538604736
1740403532.9223752,62000,-6.0
1740403557.9160774,63000,3.3333332538604736
1740403602.5691273,65000,-10.0
1740403624.4116242,66000,-10.0
1740403647.7818675,67000,-10.0
1740403670.1755161,68000,3.3333332538604736
1740403718.4781518,70000,-6.0
1740403740.2269697,71000,-4.285714149475098
1740403792.9148324,73000,-5.0
1740403815.3227248,74000,-10.0
1740403839.0848167,75000,-10.0
